Name,URL,Cuisines,Area,Timing,Full_Address,PhoneNumber,IsHomeDelivery,isTakeaway,isIndoorSeating,isVegOnly,Dinner Ratings,Dinner Reviews,Delivery Ratings,Delivery Reviews,KnownFor,PopularDishes,PeopleKnownFor,AverageCost,latitudes,longitudes
WOW! Momo,https://www.zomato.com/kolkata/wow-momo-park-street-area,"Momos, Fast Food, Tibetan","Park Street Area, Kolkata",9am â€“ 3am (Today),"57, Park Street, Beside Vodafone Store, Park Street Area, Kolkata",917604000000,1,1,1,0,4,469,4.1,11100,,"Tandoori Paneer Momos, Momo Platter, Chocolate Momo, Chicken Cheese Momo, Green Apple Mojito, Pan Fried Momos","Comfortable Seating Area, Staff Service, Family Place, Fancy Crowd, Customer Service, Friendly Staff",350,52.0855618,-0.7272059
Daily Bhoj,https://www.zomato.com/kolkata/daily-bhoj-topsia,Bengali,"Topsia, Kolkata",,"139/1G, Tljala Road, Topsia, Kolkata",919331000000,1,0,0,0,-,0,3.9,2260,,,"Great Portions, Worth the Money, Timely Service, Delicious Food, Good Food",150,22.5418017,88.3869552
Behnam,https://www.zomato.com/kolkata/behnam-topsia,"Biryani, North Indian, Mughlai, Rolls, Kebab, Awadhi, Lucknowi","Topsia, Kolkata",Opens at 11am,"139/1G, Tiljala Road, Near OYO Townhouse 229, Topsia, Kolkata",919331000000,1,1,0,0,-,0,2.9,151,,,"Worth the Money, Timely Service, Great Portions, Delicious Food",200,22.5418017,88.3869552
Dilnawaz Biryani Centre,https://www.zomato.com/kolkata/dilnawaz-biryani-centre-tollygunge,"Biryani, Mughlai","Tollygunge, Kolkata",Opens at 12noon,"28, Deshpran Shasmal Road, Ward 81 BR X, Near Charu Market Thana, Tollygunge, Kolkata",918283000000,1,1,0,0,4,506,4,42500,,,"Comfort Food, Cute Little Place, Inexpensive, Low Price, Great Recommendations, Excellent Taste",200,22.498636,88.3453908
Haka,https://www.zomato.com/kolkata/haka-ballygunge,"Chinese, Momos, Desserts, Beverages","Ballygunge, Kolkata",,"3A, Uniworth House, Gurusaday Road, Ballygunge, Kolkata",919331000000,1,0,0,0,-,0,4.4,712,,"Chicken Suimai, Crispy Chilli Baby Corn, Dumplings, Chinese Food, Fish","Cute Packaging, Proper Packaging, Food Presentation, Worth the Money, Great Portions, Timely Service",300,22.5280337,88.3659084
Arsalan,https://www.zomato.com/kolkata/arsalan-park-street-area,"Biryani, North Indian, Kebab, Bengali","Park Street Area, Kolkata",,"119A, Muzaffar Ahmed Street, Park Street Area, Kolkata",919007000000,1,1,1,0,4.1,1367,4.2,9638,Biryani and Tandoor!,"Chicken Boneless Masala, Mutton Haleem, Special Mutton Biryani, Stew, Mughlai Food, Reshmi Kabab","Cost Worthy, Gastronomical Experience, Ample Seating Area, Authenticity, Affordable, Good Value",600,52.0855618,-0.7272059
Domino's Pizza,https://www.zomato.com/kolkata/dominos-pizza-2-park-street-area,"Pizza, Fast Food, Beverages, Desserts","Park Street Area, Kolkata",10am â€“ 2:57am (Today),"31, Ward 63, Chowringhee Road, Shakespeare Sarani, Park Street Area, Kolkata",913340000000,1,1,1,0,3.7,133,4.1,3931,,,"Student Crowd, Good Music, Elaborate Menu, Customizable Food, Young Crowd, Preparation",400,52.0855618,-0.7272059
KFC,https://www.zomato.com/kolkata/kfc-park-street-area,"Burger, Fast Food, Biryani, Desserts, Beverages","Park Street Area, Kolkata","12midnight â€“ 3am, 11am â€“ 12midnight (Today)","20K, Park Street Area, Kolkata",913334000000,1,1,1,0,4.2,2005,4.2,17200,,"Strawberry Storm, Crispy Chicken Bucket, Meal Box, Chicken Popcorn, Chicken Strips, Sundae","Nice Crowd, Cute Little Place, Cozy Ambiance, Elegantly Decorated, Great Recommendations, Prime Location",400,52.0855618,-0.7272059
Pizza Hut,https://www.zomato.com/kolkata/pizza-hut-1-park-street-area,"Pizza, Fast Food, Desserts, Beverages","Park Street Area, Kolkata",Opens at 11am,"20 K, Sir William Jones Sarani, Park Street Area, Kolkata",18002022022,1,1,1,0,3.4,120,3.9,5047,,,"Atmosphere, Student Crowd, Best Food under Best Budget, Elaborate Menu, Customizable Food, Young Crowd",600,52.0855618,-0.7272059
Monginis,https://www.zomato.com/kolkata/monginis-6-college-street,"Bakery, Desserts, Fast Food","College Street, Kolkata",Opens at 8:01am,"131, Ground Floor, Chittaranjan Avenue, College Street, Kolkata",919063000000,1,1,0,0,-,0,4,206,,,,50,22.5671979,88.3601304
Haldiram's Prabhuji,https://www.zomato.com/kolkata/haldirams-prabhuji-bara-bazar,"Mishti, South Indian, Street Food, Chinese, Fast Food, North Indian, Beverages","Bara Bazar, Kolkata",Opens at 7am,"7, Jagmohan Mullick Lane, Bara Bazar, Kolkata",919830000000,1,1,1,1,3.9,367,4,8856,,"Soan Papdi, Barfi, Hot Gulab Jamun, Chole, Chaat, Dosa","Hygienic Place, Good Place, Good Food, Prices, Staff, Quality",300,22.5801792,88.3528098
Balaram Mullick & Radharaman Mullick Sweets,https://www.zomato.com/kolkata/balaram-mullick-radharaman-mullick-sweets-theatre-road,"Mishti, Desserts, Fast Food, Street Food","Theatre Road, Kolkata",Opens at 10am,"5/2, Ground Floor, Poonam Building, Anandilal Poddar Sarani, Theatre Road, Kolkata",916292000000,1,1,0,0,2.7,6,4.3,5158,The pioneers of baked rossogolla,"Baked Sandesh, Mango Souffle, Mango Doi, Baked Rosogolla, Aam Doi, Bengali Sweets","Packing, Worth the Money, Prices, Food",300,22.5442409,88.3592663
Kabuliwala,https://www.zomato.com/kolkata/kabuliwala-ballygunge,"Biryani, North Indian, Rolls","Ballygunge, Kolkata",,"13/5, Anil Maitra Road, Ballygunge, Kolkata",917676000000,1,0,0,0,-,0,4,418,,,,200,22.5280337,88.3659084
